Date_obs,Year,Quarter,Month,LEU0252911200,LEU0252911300,LEU0252881500,LEU0252911400,LEU0252911500,LEU0252911600,LEU0252911700,LEU0252881800,LEU0252911800,LEU0252911900,LEU0252912000,LEU0252912100,LEU0252882700,LEU0252912200,LEU0252912300,LEU0252916500,LEU0252916600,LEU0252916700,LEU0252916800,LEU0252916900,LEU0252917100,LEU0252917200,LEU0252917300,LEU0252917400,LEU0252917500,LEU0254929200,LEU0254929300,LEU0254929400,LEU0254929500,LEU0254929600,LEU0252918300,LEU0252918400,LEU0252918500,LEU0252918600,LEU0252918700
"Qtr1
1979",1979,Q1,1,,,234,,,,,285,,,,,177,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1979",1979,Q2,4,,,239,,,,,289,,,,,178,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1979",1979,Q3,7,,,240,,,,,290,,,,,183,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1979",1979,Q4,10,,,249,,,,,300,,,,,189,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1980",1980,Q1,1,,,256,,,,,307,,,,,196,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1980",1980,Q2,4,,,257,,,,,308,,,,,198,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1980",1980,Q3,7,,,262,,,,,312,,,,,201,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1980",1980,Q4,10,,,271,,,,,324,,,,,207,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1981",1981,Q1,1,,,278,,,,,334,,,,,215,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1981",1981,Q2,4,,,279,,,,,334,,,,,215,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1981",1981,Q3,7,,,281,,,,,336,,,,,219,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1981",1981,Q4,10,,,294,,,,,353,,,,,225,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1982",1982,Q1,1,,,298,,,,,358,,,,,235,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1982",1982,Q2,4,,,301,,,,,363,,,,,238,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1982",1982,Q3,7,,,299,,,,,364,,,,,236,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1982",1982,Q4,10,,,308,,,,,371,,,,,245,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1983",1983,Q1,1,,,311,,,,,377,,,,,250,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1983",1983,Q2,4,,,311,,,,,375,,,,,251,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1983",1983,Q3,7,,,311,,,,,379,,,,,249,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1983",1983,Q4,10,,,318,,,,,382,,,,,257,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1984",1984,Q1,1,,,323,,,,,389,,,,,262,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1984",1984,Q2,4,,,323,,,,,388,,,,,263,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1984",1984,Q3,7,,,322,,,,,388,,,,,263,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1984",1984,Q4,10,,,335,,,,,400,,,,,270,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1985",1985,Q1,1,,,336,,,,,404,,,,,270,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1985",1985,Q2,4,,,347,,,,,408,,,,,280,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1985",1985,Q3,7,,,340,,,,,401,,,,,275,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1985",1985,Q4,10,,,351,,,,,413,,,,,283,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1986",1986,Q1,1,,,354,,,,,419,,,,,287,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1986",1986,Q2,4,,,358,,,,,416,,,,,290,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1986",1986,Q3,7,,,354,,,,,414,,,,,287,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1986",1986,Q4,10,,,368,,,,,428,,,,,296,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1987",1987,Q1,1,,,369,,,,,434,,,,,299,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1987",1987,Q2,4,,,371,,,,,427,,,,,302,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1987",1987,Q3,7,,,371,,,,,428,,,,,301,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1987",1987,Q4,10,,,381,,,,,445,,,,,309,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1988",1988,Q1,1,,,385,,,,,450,,,,,312,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1988",1988,Q2,4,,,382,,,,,445,,,,,314,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1988",1988,Q3,7,,,381,,,,,443,,,,,313,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1988",1988,Q4,10,,,392,,,,,458,,,,,320,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1989",1989,Q1,1,,,397,,,,,468,,,,,326,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1989",1989,Q2,4,,,398,,,,,467,,,,,324,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1989",1989,Q3,7,,,395,,,,,458,,,,,329,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1989",1989,Q4,10,,,408,,,,,483,,,,,336,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1990",1990,Q1,1,,,413,,,,,484,,,,,345,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1990",1990,Q2,4,,,411,,,,,478,,,,,345,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1990",1990,Q3,7,,,406,,,,,476,,,,,341,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1990",1990,Q4,10,,,419,,,,,487,,,,,354,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1991",1991,Q1,1,,,432,,,,,500,,,,,365,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1991",1991,Q2,4,,,422,,,,,486,,,,,367,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1991",1991,Q3,7,,,421,,,,,487,,,,,363,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1991",1991,Q4,10,,,432,,,,,500,,,,,371,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1992",1992,Q1,1,,,443,,,,,504,,,,,380,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1992",1992,Q2,4,,,436,,,,,499,,,,,378,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1992",1992,Q3,7,,,437,,,,,497,,,,,377,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1992",1992,Q4,10,,,445,,,,,504,,,,,384,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1993",1993,Q1,1,,,456,,,,,509,,,,,393,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1993",1993,Q2,4,,,455,,,,,508,,,,,388,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1993",1993,Q3,7,,,456,,,,,509,,,,,394,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1993",1993,Q4,10,,,467,,,,,516,,,,,399,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1994",1994,Q1,1,,,469,,,,,529,,,,,399,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1994",1994,Q2,4,,,465,,,,,521,,,,,396,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1994",1994,Q3,7,,,462,,,,,512,,,,,399,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1994",1994,Q4,10,,,472,,,,,531,,,,,403,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1995",1995,Q1,1,,,478,,,,,535,,,,,406,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1995",1995,Q2,4,,,475,,,,,533,,,,,404,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1995",1995,Q3,7,,,479,,,,,536,,,,,405,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1995",1995,Q4,10,,,484,,,,,548,,,,,407,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1996",1996,Q1,1,,,489,,,,,557,,,,,419,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1996",1996,Q2,4,,,486,,,,,554,,,,,414,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1996",1996,Q3,7,,,488,,,,,552,,,,,415,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1996",1996,Q4,10,,,499,,,,,565,,,,,425,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1997",1997,Q1,1,,,504,,,,,582,,,,,427,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1997",1997,Q2,4,,,499,,,,,572,,,,,428,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1997",1997,Q3,7,,,499,,,,,573,,,,,429,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1997",1997,Q4,10,,,511,,,,,587,,,,,440,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1998",1998,Q1,1,,,521,,,,,596,,,,,455,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1998",1998,Q2,4,,,515,,,,,590,,,,,446,,,,,,,,,,,,,,,,,,,,,,
"Qtr3
1998",1998,Q3,7,,,520,,,,,593,,,,,455,,,,,,,,,,,,,,,,,,,,,,
"Qtr4
1998",1998,Q4,10,,,541,,,,,614,,,,,471,,,,,,,,,,,,,,,,,,,,,,
"Qtr1
1999",1999,Q1,1,,,538,,,,,612,,,,,468,,,,,,,,,,,,,,,,,,,,,,
"Qtr2
1999",1999,Q2,4,,,543,,,,,617,,,,,467,,,,,,,,,,,,,,,,,,,,,,
