true_year,avg_hrs_100Male,avg_hrs_90Male,avg_hrs_80Male,avg_hrs_70Male,avg_hrs_60Male,avg_hrs_50Male,avg_hrs_40Male,avg_hrs_30Male,avg_hrs_20Male,avg_hrs_10Male,avg_wage_100Male,avg_wage_90Male,avg_wage_80Male,avg_wage_70Male,avg_wage_60Male,avg_wage_50Male,avg_wage_40Male,avg_wage_30Male,avg_wage_20Male,avg_wage_10Male,avg_hrs_100Female,avg_hrs_90Female,avg_hrs_80Female,avg_hrs_70Female,avg_hrs_60Female,avg_hrs_50Female,avg_hrs_40Female,avg_hrs_30Female,avg_hrs_20Female,avg_hrs_10Female,avg_wage_100Female,avg_wage_90Female,avg_wage_80Female,avg_wage_70Female,avg_wage_60Female,avg_wage_50Female,avg_wage_40Female,avg_wage_30Female,avg_wage_20Female,avg_wage_10Female,avg_wage_90,avg_wage_80,avg_wage_70,avg_wage_60,avg_wage_50,avg_wage_40,avg_wage_30,avg_wage_20,avg_wage_10,avg_wage_100,avg_hrs_100,avg_hrs_90,avg_hrs_80,avg_hrs_70,avg_hrs_60,avg_hrs_50,avg_hrs_40,avg_hrs_30,avg_hrs_20,avg_hrs_10
1967,7.51173,7.636736,7.668856,7.688947,7.69773,7.72155,7.753625,7.761628,7.798642,7.866568,3.872285,3.291745,3.137065,2.991324,2.877612,2.754101,2.648921,2.497555,2.293125,1.85853,7.192092,7.476334,7.501555,7.527763,7.490996,7.535213,7.480333,7.521569,7.465861,7.401863,3.415918,2.869032,2.683095,2.554228,2.437428,2.310455,2.186284,2.04706,1.872015,1.557949,3.203675,3.02782,2.88202,2.748561,2.63668,2.482669,2.30981,2.091273,1.707503,3.782198,7.474384,7.617713,7.65767,7.656816,7.672852,7.683685,7.668884,7.677195,7.643934,7.64859
1968,7.518073,7.63704,7.673123,7.695992,7.71222,7.718318,7.726874,7.764401,7.805358,7.844934,3.910837,3.332499,3.148922,3.003294,2.907952,2.795888,2.680803,2.532354,2.329232,1.931635,7.204609,7.45756,7.495898,7.507318,7.517742,7.501219,7.519802,7.49585,7.478143,7.398368,3.405401,2.896539,2.715832,2.591915,2.469628,2.348361,2.232147,2.101857,1.937347,1.637873,3.239076,3.051513,2.909723,2.785481,2.657722,2.512804,2.339077,2.153193,1.785327,3.809644,7.484103,7.620043,7.649343,7.664265,7.678376,7.663065,7.671205,7.667423,7.652597,7.626398
1969,7.531293,7.638915,7.671948,7.676243,7.716098,7.723388,7.743984,7.767962,7.796601,7.835242,3.937782,3.377524,3.179333,3.065293,2.938967,2.844949,2.715976,2.567995,2.346373,1.94133,7.276891,7.48142,7.504074,7.520631,7.524866,7.495104,7.502585,7.447809,7.432995,7.368111,3.376541,2.904129,2.729415,2.595305,2.472185,2.372492,2.240532,2.108577,1.935257,1.623999,3.274433,3.081795,2.943747,2.810572,2.671677,2.536042,2.363699,2.150279,1.774469,3.823603,7.517964,7.622787,7.649536,7.666244,7.667216,7.677404,7.673244,7.652718,7.621396,7.595801
1970,7.516272,7.631295,7.650204,7.679704,7.686627,7.705282,7.737986,7.751205,7.780307,7.838105,3.968911,3.401093,3.206676,3.068802,2.954073,2.844679,2.721969,2.57545,2.359753,1.919016,7.288837,7.481438,7.50962,7.499051,7.513792,7.519998,7.469908,7.453029,7.447745,7.369299,3.437802,2.929167,2.749053,2.604559,2.493392,2.368535,2.246936,2.117078,1.942912,1.616947,3.289551,3.091918,2.950829,2.818676,2.684438,2.539711,2.365756,2.148299,1.762642,3.861105,7.503781,7.615166,7.640175,7.649375,7.66715,7.664711,7.658096,7.635693,7.615702,7.607191
1971,7.5347,7.637117,7.660134,7.675825,7.684974,7.725777,7.719517,7.743696,7.788797,7.824022,3.979277,3.387997,3.20564,3.06705,2.966352,2.837887,2.712439,2.559735,2.345195,1.904849,7.269404,7.467898,7.502927,7.53152,7.511897,7.501948,7.508025,7.485744,7.446124,7.365474,3.44772,2.928235,2.745786,2.612838,2.495921,2.373361,2.264293,2.112332,1.928016,1.596967,3.2943,3.087243,2.956226,2.811036,2.677344,2.529643,2.360318,2.145822,1.737702,3.860482,7.514066,7.620765,7.639243,7.654686,7.661705,7.667391,7.645495,7.641418,7.634053,7.59062
1972,7.547844,7.637159,7.672443,7.685952,7.706338,7.721707,7.748792,7.747211,7.772979,7.820483,4.027369,3.438385,3.235589,3.115728,2.99193,2.87876,2.746313,2.586601,2.368185,1.927529,7.293407,7.4821,7.526186,7.529366,7.523339,7.489922,7.490132,7.481734,7.426658,7.374976,3.480405,2.949605,2.768803,2.639204,2.516173,2.390503,2.267167,2.125199,1.947631,1.584403,3.325348,3.130769,2.982172,2.843791,2.699413,2.553915,2.38665,2.163394,1.749342,3.926393,7.52163,7.632689,7.642936,7.669394,7.672384,7.675929,7.653409,7.647029,7.616152,7.581987
1973,7.530202,7.644579,7.666789,7.68137,7.709009,7.715197,7.738761,7.756111,7.782436,7.804977,4.044279,3.454897,3.259362,3.133621,3.013477,2.901587,2.767725,2.623607,2.393304,1.937173,7.272046,7.477254,7.505785,7.524962,7.501636,7.489625,7.495559,7.435664,7.443577,7.382958,3.47155,2.966216,2.787503,2.653732,2.526587,2.404233,2.274901,2.132095,1.944373,1.572222,3.341691,3.146449,2.987289,2.869817,2.72074,2.570003,2.390637,2.155975,1.748574,3.924779,7.516941,7.623127,7.645555,7.668178,7.664624,7.669434,7.651791,7.627939,7.60206,7.584723
1974,7.506445,7.618433,7.643379,7.666226,7.690643,7.699998,7.709716,7.743298,7.752387,7.796738,3.998461,3.445592,3.252886,3.117431,3.001308,2.874648,2.766608,2.605001,2.3832,1.926128,7.301477,7.475239,7.521199,7.514346,7.513547,7.477591,7.481247,7.458169,7.44505,7.377913,3.406661,2.946864,2.774981,2.637609,2.514538,2.390884,2.263565,2.125401,1.945476,1.620786,3.323259,3.123082,2.980456,2.849916,2.704479,2.547563,2.378085,2.149584,1.758776,3.877735,7.505064,7.596188,7.6313,7.648923,7.651179,7.649987,7.637413,7.615192,7.594716,7.570872
1975,7.530322,7.606732,7.650526,7.66057,7.688757,7.704107,7.714993,7.730884,7.733017,7.759075,3.999507,3.408861,3.227553,3.09539,2.967155,2.866051,2.732759,2.578173,2.358535,1.936582,7.289702,7.475505,7.52182,7.529263,7.510234,7.486572,7.47648,7.453892,7.40626,7.379758,3.444221,2.939391,2.762294,2.623339,2.495118,2.365681,2.246176,2.103179,1.924471,1.621925,3.304531,3.100855,2.954179,2.801777,2.678158,2.525435,2.347195,2.131138,1.760956,3.860318,7.497677,7.603829,7.633618,7.650413,7.650103,7.655157,7.63008,7.59997,7.576614,7.531627
1976,7.56577,7.629598,7.656779,7.683475,7.702174,7.716819,7.719518,7.737063,7.741462,7.749121,3.997426,3.412637,3.231396,3.097816,2.984662,2.862612,2.730187,2.571977,2.352518,1.924534,7.300859,7.482112,7.526052,7.5282,7.512495,7.50593,7.484913,7.459321,7.414097,7.356792,3.452401,2.95078,2.780949,2.631927,2.510037,2.401228,2.265018,2.121932,1.953012,1.636422,3.298096,3.106958,2.959334,2.818915,2.67642,2.522074,2.367803,2.13667,1.76602,3.8611,7.532768,7.612029,7.648414,7.650867,7.65565,7.651923,7.629278,7.617973,7.56481,7.535895
1977,7.553656,7.638289,7.670805,7.688114,7.69662,7.710795,7.717317,7.739481,7.758159,7.753589,4.029903,3.410276,3.244515,3.107562,2.985292,2.853597,2.733038,2.566628,2.341861,1.904867,7.315976,7.49819,7.535187,7.533891,7.532217,7.516963,7.494452,7.441402,7.427482,7.397914,3.416046,2.95201,2.7699,2.629628,2.502534,2.385146,2.257184,2.113315,1.935273,1.60548,3.302009,3.09916,2.950917,2.81198,2.664313,2.514568,2.342495,2.120863,1.737283,3.883934,7.532061,7.621427,7.648057,7.645517,7.647649,7.653478,7.644337,7.610831,7.570508,7.549684
