Series ID,Year,Period,Value,Description
LNS13000000,1948,1,2034,Unemployed
LNS13000000,1948,2,2328,Unemployed
LNS13000000,1948,3,2399,Unemployed
LNS13000000,1948,4,2386,Unemployed
LNS13000000,1948,5,2118,Unemployed
LNS13000000,1948,6,2214,Unemployed
LNS13000000,1948,7,2213,Unemployed
LNS13000000,1948,8,2350,Unemployed
LNS13000000,1948,10,2302,Unemployed
LNS13000000,1948,10,2259,Unemployed
LNS13000000,1948,11,2285,Unemployed
LNS13000000,1948,12,2429,Unemployed
LNS13000000,1949,1,2596,Unemployed
LNS13000000,1949,2,2849,Unemployed
LNS13000000,1949,3,3030,Unemployed
LNS13000000,1949,4,3260,Unemployed
LNS13000000,1949,5,3707,Unemployed
LNS13000000,1949,6,3776,Unemployed
LNS13000000,1949,7,4111,Unemployed
LNS13000000,1949,8,4193,Unemployed
LNS13000000,1949,10,4049,Unemployed
LNS13000000,1949,10,4916,Unemployed
LNS13000000,1949,11,3996,Unemployed
LNS13000000,1949,12,4063,Unemployed
LNS13000000,1950,1,4026,Unemployed
LNS13000000,1950,2,3936,Unemployed
LNS13000000,1950,3,3876,Unemployed
LNS13000000,1950,4,3575,Unemployed
LNS13000000,1950,5,3434,Unemployed
LNS13000000,1950,6,3367,Unemployed
LNS13000000,1950,7,3120,Unemployed
LNS13000000,1950,8,2799,Unemployed
LNS13000000,1950,10,2774,Unemployed
LNS13000000,1950,10,2625,Unemployed
LNS13000000,1950,11,2589,Unemployed
LNS13000000,1950,12,2639,Unemployed
LNS13000000,1951,1,2305,Unemployed
LNS13000000,1951,2,2117,Unemployed
LNS13000000,1951,3,2125,Unemployed
LNS13000000,1951,4,1919,Unemployed
LNS13000000,1951,5,1856,Unemployed
LNS13000000,1951,6,1995,Unemployed
LNS13000000,1951,7,1950,Unemployed
LNS13000000,1951,8,1933,Unemployed
LNS13000000,1951,10,2067,Unemployed
LNS13000000,1951,10,2194,Unemployed
LNS13000000,1951,11,2178,Unemployed
LNS13000000,1951,12,1960,Unemployed
LNS13000000,1952,1,1972,Unemployed
LNS13000000,1952,2,1957,Unemployed
LNS13000000,1952,3,1813,Unemployed
LNS13000000,1952,4,1811,Unemployed
LNS13000000,1952,5,1863,Unemployed
LNS13000000,1952,6,1884,Unemployed
LNS13000000,1952,7,1991,Unemployed
LNS13000000,1952,8,2087,Unemployed
LNS13000000,1952,10,1936,Unemployed
LNS13000000,1952,10,1839,Unemployed
LNS13000000,1952,11,1743,Unemployed
LNS13000000,1952,12,1667,Unemployed
LNS13000000,1953,1,1839,Unemployed
LNS13000000,1953,2,1636,Unemployed
LNS13000000,1953,3,1647,Unemployed
LNS13000000,1953,4,1723,Unemployed
LNS13000000,1953,5,1596,Unemployed
LNS13000000,1953,6,1607,Unemployed
LNS13000000,1953,7,1660,Unemployed
LNS13000000,1953,8,1665,Unemployed
LNS13000000,1953,10,1821,Unemployed
LNS13000000,1953,10,1974,Unemployed
LNS13000000,1953,11,2211,Unemployed
LNS13000000,1953,12,2818,Unemployed
LNS13000000,1954,1,3077,Unemployed
LNS13000000,1954,2,3331,Unemployed
LNS13000000,1954,3,3607,Unemployed
LNS13000000,1954,4,3749,Unemployed
LNS13000000,1954,5,3767,Unemployed
LNS13000000,1954,6,3551,Unemployed
LNS13000000,1954,7,3659,Unemployed
LNS13000000,1954,8,3854,Unemployed
LNS13000000,1954,10,3927,Unemployed
LNS13000000,1954,10,3666,Unemployed
LNS13000000,1954,11,3402,Unemployed
LNS13000000,1954,12,3196,Unemployed
LNS13000000,1955,1,3157,Unemployed
LNS13000000,1955,2,2969,Unemployed
LNS13000000,1955,3,2918,Unemployed
LNS13000000,1955,4,3049,Unemployed
LNS13000000,1955,5,2747,Unemployed
LNS13000000,1955,6,2701,Unemployed
LNS13000000,1955,7,2632,Unemployed
LNS13000000,1955,8,2784,Unemployed
LNS13000000,1955,10,2678,Unemployed
LNS13000000,1955,10,2830,Unemployed
LNS13000000,1955,11,2780,Unemployed
LNS13000000,1955,12,2761,Unemployed
LNS13000000,1956,1,2666,Unemployed
LNS13000000,1956,2,2606,Unemployed
LNS13000000,1956,3,2764,Unemployed
LNS13000000,1956,4,2650,Unemployed
LNS13000000,1956,5,2861,Unemployed
LNS13000000,1956,6,2882,Unemployed
LNS13000000,1956,7,2952,Unemployed
LNS13000000,1956,8,2701,Unemployed
LNS13000000,1956,10,2635,Unemployed
LNS13000000,1956,10,2571,Unemployed
LNS13000000,1956,11,2861,Unemployed
LNS13000000,1956,12,2790,Unemployed
LNS13000000,1957,1,2796,Unemployed
LNS13000000,1957,2,2622,Unemployed
LNS13000000,1957,3,2509,Unemployed
LNS13000000,1957,4,2600,Unemployed
